Employee ID,Basic Salary,Bonus,HRA,TA,TDS,PPF
1,36800,17167,7360.0,4550,6587.700000000001,4416.0
2,69507,8136,13901.400000000001,7421,9896.54,8340.84
3,39745,19611,7949.0,5197,7250.200000000001,4769.4
4,64862,19866,12972.400000000001,6467,10416.74,7783.44
5,63348,17108,12669.6,7895,10102.060000000001,7601.759999999999
6,62668,18765,12533.6,5126,9909.260000000002,7520.16
7,65188,9754,13037.6,3569,9154.86,7822.5599999999995
8,54309,9497,10861.800000000001,4123,7879.080000000001,6517.08
9,36762,7200,7352.400000000001,7256,5857.040000000001,4411.44
10,77882,7273,15576.400000000001,5437,10616.84,9345.84
11,69290,15583,13858.0,3903,10263.400000000001,8314.8
12,61207,18324,12241.400000000001,7616,9938.84,7344.84
13,77179,18868,15435.800000000001,7952,11943.480000000001,9261.48
14,72049,6599,14409.800000000001,3095,9615.28,8645.88
15,45119,15909,9023.800000000001,6389,7644.080000000001,5414.28
16,34581,13506,6916.200000000001,5658,6066.12,4149.72
17,66288,12708,13257.6,3926,9617.960000000001,7954.5599999999995
18,72892,16754,14578.400000000001,3410,10763.44,8747.039999999999
19,76217,6251,15243.400000000001,5137,10284.84,9146.039999999999
20,71402,8106,14280.400000000001,6455,10024.34,8568.24
21,30193,14806,6038.6,6365,5740.26,3623.16
22,30772,6078,6154.400000000001,2339,4534.34,3692.64
23,30771,16149,6154.200000000001,7796,6087.02,3692.52
24,69692,5205,13938.400000000001,5981,9481.64,8363.039999999999
25,77625,7062,15525.0,5873,10608.5,9315.0
26,50498,15509,10099.6,5858,8196.460000000001,6059.76
27,75617,8568,15123.400000000001,2600,10190.84,9074.039999999999
28,59020,10682,11804.0,3642,8514.800000000001,7082.4
29,78659,19152,15731.800000000001,3379,11692.18,9439.08
30,74409,6205,14881.800000000001,6025,10152.080000000002,8929.08
31,59399,9386,11879.800000000001,4022,8468.68,7127.88
32,51857,18509,10371.400000000001,6401,8713.84,6222.84
33,65509,6140,13101.800000000001,5794,9054.480000000001,7861.08
34,70699,16717,14139.800000000001,6089,10764.480000000001,8483.88
35,41777,8183,8355.4,6185,6450.040000000001,5013.24
36,56465,12789,11293.0,5119,8566.6,6775.8
37,76064,5382,15212.800000000001,5079,10173.78,9127.68
38,65313,18731,13062.6,2341,9944.760000000002,7837.5599999999995
39,35428,7660,7085.6,6706,5687.96,4251.36
40,55273,10348,11054.6,4592,8126.760000000001,6632.759999999999
41,38805,8246,7761.0,5666,6047.8,4656.599999999999
42,50208,12672,10041.6,2561,7548.260000000001,6024.96
43,68519,17918,13703.800000000001,6247,10638.78,8222.279999999999
44,32871,16693,6574.200000000001,5880,6201.82,3944.52
45,79382,17184,15876.400000000001,7662,12010.44,9525.84
46,59407,6056,11881.400000000001,5480,8282.44,7128.84
47,41997,15087,8399.4,2318,6780.139999999999,5039.639999999999
48,69775,5905,13955.0,4003,9363.800000000001,8373.0
49,45548,18624,9109.6,7465,8074.660000000001,5465.76
50,55492,14614,11098.400000000001,3261,8446.539999999999,6659.04
51,78042,14061,15608.400000000001,2062,10977.34,9365.039999999999
52,70306,17537,14061.2,7611,10951.52,8436.72
53,57493,9082,11498.6,4056,8212.960000000001,6899.16
54,71021,7077,14204.2,3676,9597.82,8522.52
55,64356,8202,12871.2,3284,8871.32,7722.719999999999
56,44605,8639,8921.0,3776,6594.1,5352.599999999999
57,36097,19234,7219.400000000001,6194,6874.44,4331.639999999999
58,35497,7195,7099.400000000001,5525,5531.64,4259.639999999999
59,32016,15199,6403.200000000001,5461,5907.92,3841.92
60,79047,18426,15809.400000000001,7468,12075.04,9485.64
61,41518,7747,8303.6,4225,6179.360000000001,4982.16
62,62625,15105,12525.0,3830,9408.5,7515.0
63,61905,18234,12381.0,2204,9472.4,7428.599999999999
64,69483,13339,13896.6,5417,10213.560000000001,8337.96
65,57893,16424,11578.6,7617,9351.26,6947.16
66,77361,15955,15472.2,4169,11295.720000000001,9283.32
67,36330,13801,7266.0,2366,5976.3,4359.599999999999
68,49970,16915,9994.0,4931,8181.0,5996.4
69,59793,17668,11958.6,4807,9422.660000000002,7175.16
70,74928,6006,14985.6,7099,10301.86,8991.359999999999
71,77936,9559,15587.2,6923,11000.52,9352.32
72,64564,18239,12912.800000000001,3086,9880.18,7747.679999999999
73,45463,8672,9092.6,5123,6835.060000000001,5455.5599999999995
74,52819,7012,10563.800000000001,7099,7749.380000000001,6338.28
75,30059,8671,6011.8,5971,5071.280000000001,3607.08
76,43318,13107,8663.6,4451,6953.960000000001,5198.16
77,30617,11932,6123.400000000001,4021,5269.34,3674.04
78,56558,15420,11311.6,2268,8555.76,6786.96
79,30086,16990,6017.200000000001,6275,5936.82,3610.3199999999997
80,51141,8752,10228.2,7179,7730.02,6136.92
81,41275,5355,8255.0,6935,6182.0,4953.0
82,64393,6155,12878.6,3040,8646.660000000002,7727.16
83,71266,19040,14253.2,6266,11082.52,8551.92
84,73584,15363,14716.800000000001,4235,10789.880000000001,8830.08
85,44267,13921,8853.4,3410,7045.139999999999,5312.04
86,63523,19071,12704.6,7894,10319.260000000002,7622.759999999999
87,31066,12972,6213.200000000001,6300,5655.12,3727.92
88,71518,13516,14303.6,3611,10294.86,8582.16
89,32150,19160,6430.0,2427,6016.700000000001,3858.0
90,65788,7704,13157.6,3791,9044.060000000001,7894.5599999999995
91,36675,16623,7335.0,5650,6628.3,4401.0
92,60179,12471,12035.800000000001,3143,8782.880000000001,7221.48
93,53669,9753,10733.800000000001,4554,7870.9800000000005,6440.28
94,34755,14352,6951.0,5893,6195.1,4170.599999999999
95,34871,17301,6974.200000000001,2820,6196.62,4184.5199999999995
96,49302,8455,9860.400000000001,6838,7445.54,5916.24
97,30956,6404,6191.200000000001,7875,5142.62,3714.72
98,42636,10931,8527.2,4185,6627.92,5116.32
99,33120,7259,6624.0,3389,5039.200000000001,3974.3999999999996
100,50527,13211,10105.400000000001,2434,7627.74,6063.24
101,79368,7199,15873.6,7789,11022.960000000001,9524.16
102,68730,12266,13746.0,2574,9731.6,8247.6
103,49396,12843,9879.2,7902,8002.02,5927.5199999999995
104,55932,6218,11186.400000000001,4791,7812.74,6711.84
105,54864,18852,10972.800000000001,2256,8694.480000000001,6583.679999999999
106,79597,8409,15919.400000000001,4252,10817.74,9551.64
107,68292,11461,13658.400000000001,7350,10076.14,8195.039999999999
108,70970,17250,14194.0,7631,11004.5,8516.4
109,42044,14464,8408.800000000001,7746,7266.280000000001,5045.28
110,73691,11208,14738.2,6033,10567.02,8842.92
111,69148,6836,13829.6,2987,9280.060000000001,8297.76
112,44071,10909,8814.2,5669,6946.32,5288.5199999999995
113,70778,17380,14155.6,6300,10861.36,8493.36
114,46244,10295,9248.800000000001,7497,7328.4800000000005,5549.28
115,79331,6168,15866.2,4377,10574.220000000001,9519.72
116,38965,18248,7793.0,4720,6972.6,4675.8
117,67869,15263,13573.800000000001,4989,10169.480000000001,8144.28
118,47688,12532,9537.6,5919,7567.660000000001,5722.5599999999995
119,78109,13577,15621.800000000001,3715,11102.28,9373.08
120,31495,18191,6299.0,3281,5926.6,3779.3999999999996
121,45510,9528,9102.0,5640,6978.0,5461.2
122,37969,19938,7593.8,6557,7205.780000000001,4556.28
123,43378,7464,8675.6,5731,6524.860000000001,5205.36
124,63360,16395,12672.0,3261,9568.800000000001,7603.2
125,74697,18306,14939.400000000001,3039,11098.14,8963.64
