Employee ID,Basic Salary,Bonus,HRA,TA,TDS,PPF,Gross Salary,Net Salary
1,36800,17167,7360.0,4550,6587.700000000001,4416.0,65877.0,54873.3
2,69507,8136,13901.4,7421,9896.54,8340.84,98965.4,80728.01999999999
3,39745,19611,7949.0,5197,7250.200000000001,4769.4,72502.0,60482.4
4,64862,19866,12972.4,6467,10416.74,7783.44,104167.4,85967.21999999999
5,63348,17108,12669.6,7895,10102.06,7601.759999999999,101020.6,83316.78000000001
6,62668,18765,12533.6,5126,9909.260000000002,7520.16,99092.6,81663.18
7,65188,9754,13037.6,3569,9154.86,7822.559999999999,91548.6,74571.18000000001
8,54309,9497,10861.8,4123,7879.080000000001,6517.08,78790.8,64394.64
9,36762,7200,7352.400000000001,7256,5857.040000000001,4411.44,58570.4,48301.92
10,77882,7273,15576.4,5437,10616.84,9345.84,106168.4,86205.72
11,69290,15583,13858.0,3903,10263.4,8314.8,102634.0,84055.8
12,61207,18324,12241.4,7616,9938.84,7344.84,99388.4,82104.72
13,77179,18868,15435.8,7952,11943.48,9261.48,119434.8,98229.84000000001
14,72049,6599,14409.8,3095,9615.28,8645.88,96152.8,77891.64
15,45119,15909,9023.8,6389,7644.080000000001,5414.28,76440.8,63382.44
16,34581,13506,6916.200000000001,5658,6066.12,4149.72,60661.2,50445.35999999999
17,66288,12708,13257.6,3926,9617.96,7954.559999999999,96179.6,78607.08000000002
18,72892,16754,14578.4,3410,10763.44,8747.039999999999,107634.4,88123.92
19,76217,6251,15243.4,5137,10284.84,9146.04,102848.4,83417.51999999999
20,71402,8106,14280.4,6455,10024.34,8568.24,100243.4,81650.81999999999
21,30193,14806,6038.6,6365,5740.26,3623.16,57402.6,48039.17999999999
22,30772,6078,6154.400000000001,2339,4534.34,3692.64,45343.4,37116.42
23,30771,16149,6154.200000000001,7796,6087.02,3692.52,60870.2,51090.659999999996
24,69692,5205,13938.4,5981,9481.64,8363.039999999999,94816.4,76971.72
25,77625,7062,15525.0,5873,10608.5,9315.0,106085.0,86161.5
26,50498,15509,10099.6,5858,8196.460000000001,6059.76,81964.6,67708.38
27,75617,8568,15123.4,2600,10190.84,9074.04,101908.4,82643.51999999999
28,59020,10682,11804.0,3642,8514.800000000001,7082.4,85148.0,69550.8
29,78659,19152,15731.8,3379,11692.18,9439.08,116921.8,95790.54
30,74409,6205,14881.8,6025,10152.080000000002,8929.08,101520.8,82439.64
31,59399,9386,11879.8,4022,8468.68,7127.88,84686.8,69090.23999999999
32,51857,18509,10371.4,6401,8713.84,6222.84,87138.4,72201.72
33,65509,6140,13101.8,5794,9054.48,7861.08,90544.8,73629.24
34,70699,16717,14139.8,6089,10764.48,8483.88,107644.8,88396.44
35,41777,8183,8355.4,6185,6450.040000000001,5013.24,64500.4,53037.12
36,56465,12789,11293.0,5119,8566.6,6775.8,85666.0,70323.59999999999
37,76064,5382,15212.8,5079,10173.78,9127.68,101737.8,82436.34
38,65313,18731,13062.6,2341,9944.760000000002,7837.559999999999,99447.6,81665.28
39,35428,7660,7085.6,6706,5687.96,4251.36,56879.6,46940.28
40,55273,10348,11054.6,4592,8126.760000000001,6632.759999999999,81267.6,66508.08000000002
41,38805,8246,7761.0,5666,6047.8,4656.599999999999,60478.0,49773.6
42,50208,12672,10041.6,2561,7548.260000000001,6024.96,75482.6,61909.38000000001
43,68519,17918,13703.8,6247,10638.78,8222.279999999999,106387.8,87526.74
44,32871,16693,6574.200000000001,5880,6201.82,3944.52,62018.2,51871.86
45,79382,17184,15876.4,7662,12010.44,9525.84,120104.4,98568.12
46,59407,6056,11881.4,5480,8282.44,7128.84,82824.4,67413.12
47,41997,15087,8399.4,2318,6780.139999999999,5039.639999999999,67801.4,55981.619999999995
48,69775,5905,13955.0,4003,9363.8,8373.0,93638.0,75901.2
