Employee ID,Basic Salary,Bonus,HRA,TA,TDS,PPF,Gross Salary,Net Salary
1,60059,12267,12011.8,4081,8841.880000000001,7207.08,88418.8,72369.84
2,77863,17389,15572.6,4658,11548.260000000002,9343.56,115482.6,94590.78
3,74218,14896,14843.6,4091,10804.86,8906.16,108048.6,88337.58
4,64942,9998,12988.4,5324,9325.24,7793.04,93252.4,76134.12
5,74433,13403,14886.6,3164,10588.660000000002,8931.96,105886.6,86365.98000000001
6,41954,11245,8390.800000000001,2136,6372.580000000001,5034.48,63725.8,52318.740000000005
7,70549,13849,14109.8,7121,10562.88,8465.88,105628.8,86600.04
8,36639,18787,7327.8,2326,6507.9800000000005,4396.68,65079.8,54175.14
9,59956,7527,11991.2,7723,8719.72,7194.719999999999,87197.2,71282.76
10,33491,6301,6698.200000000001,6909,5339.92,4018.92,53399.2,44040.36
11,59136,15117,11827.2,6270,9235.02,7096.32,92350.2,76018.85999999999
12,40196,8935,8039.200000000001,2580,5975.02,4823.52,59750.2,48951.65999999999
13,58467,15280,11693.4,4169,8960.94,7016.04,89609.4,73632.42
14,64558,14448,12911.6,5829,9774.660000000002,7746.96,97746.6,80224.98
15,69338,14277,13867.6,3398,10088.06,8320.56,100880.6,82471.98000000001
16,48152,16687,9630.4,6182,8065.139999999999,5778.24,80651.4,66808.01999999999
17,71137,17144,14227.4,4868,10737.64,8536.44,107376.4,88102.31999999999
18,36660,15940,7332.0,6197,6612.900000000001,4399.2,66129.0,55116.9
19,42707,8068,8541.4,7039,6635.54,5124.84,66355.4,54595.01999999999
20,47095,14006,9419.0,5021,7554.1,5651.4,75541.0,62335.49999999999
21,35760,7830,7152.0,6066,5680.8,4291.2,56808.0,46836.0
22,67115,17808,13423.0,5020,10336.6,8053.799999999999,103366.0,84975.59999999999
23,43350,14327,8670.0,5724,7207.1,5202.0,72071.0,59661.9
24,67825,13830,13565.0,7729,10294.9,8139.0,102949.0,84515.1
25,70751,9181,14150.2,4477,9855.92,8490.119999999999,98559.2,80213.16
26,72379,13503,14475.8,4330,10468.78,8685.48,104687.8,85533.54000000001
27,38944,19494,7788.8,5347,7157.380000000001,4673.28,71573.8,59743.14
28,71343,17375,14268.6,4982,10796.86,8561.16,107968.6,88610.58
29,71493,19316,14298.6,3466,10857.36,8579.16,108573.6,89137.08
30,34399,19014,6879.8,3825,6411.780000000001,4127.88,64117.8,53578.14000000001
31,49124,6134,9824.8,3336,6841.880000000001,5894.88,68418.8,55682.04
32,31972,17027,6394.400000000001,3724,5911.740000000001,3836.64,59117.4,49369.020000000004
33,69991,11555,13998.2,4918,10046.22,8398.92,100462.2,82017.06
34,47028,7138,9405.6,6948,7051.960000000001,5643.36,70519.6,57824.280000000006
35,77740,8349,15548.0,5245,10688.2,9328.8,106882.0,86865.0
36,59800,11100,11960.0,5611,8847.1,7176.0,88471.0,72447.9
37,45192,10605,9038.4,3467,6830.24,5423.04,68302.4,56049.119999999995
38,50207,10063,10041.4,2098,7240.94,6024.84,72409.4,59143.619999999995
39,31637,11122,6327.400000000001,5836,5492.240000000001,3796.44,54922.4,45633.72
40,66244,14324,13248.8,2919,9673.58,7949.28,96735.8,79112.94
41,75645,15103,15129.0,5218,11109.5,9077.4,111095.0,90908.1
42,48170,17362,9634.0,3741,7890.700000000001,5780.4,78907.0,65235.9
43,47988,18411,9597.6,3826,7982.260000000001,5758.56,79822.6,66081.78000000001
44,34016,9355,6803.200000000001,3063,5323.72,4081.92,53237.2,43831.56
45,47311,9288,9462.2,5168,7122.92,5677.32,71229.2,58428.96
46,73175,8028,14635.0,2263,9810.1,8781.0,98101.0,79509.9
47,37400,14397,7480.0,6925,6620.200000000001,4488.0,66202.0,55093.8
48,42283,12863,8456.6,4885,6848.760000000001,5073.96,68487.6,56564.880000000005
49,74115,6141,14823.0,4887,9996.6,8893.8,99966.0,81075.59999999999
50,69065,5242,13813.0,3542,9166.2,8287.8,91662.0,74208.0
51,49352,6204,9870.4,4410,6983.639999999999,5922.24,69836.4,56930.52
52,31045,18987,6209.0,6845,6308.6,3725.4,63086.0,53052.0
53,62665,15563,12533.0,2670,9343.1,7519.799999999999,93431.0,76568.09999999999
54,45184,14261,9036.8,2352,7083.380000000001,5422.08,70833.8,58328.34
55,46323,15905,9264.6,2900,7439.260000000001,5558.76,74392.6,61394.58000000001
56,41090,19347,8218.0,5512,7416.700000000001,4930.8,74167.0,61819.5
57,65113,14840,13022.6,6339,9931.46,7813.559999999999,99314.6,81569.58000000002
58,47548,5471,9509.6,4127,6665.560000000001,5705.76,66655.6,54284.280000000006
59,79361,12408,15872.2,7993,11563.42,9523.32,115634.2,94547.45999999999
60,30715,15556,6143.0,7418,5983.200000000001,3685.8,59832.0,50163.0
61,72515,5220,14503.0,2207,9444.5,8701.8,94445.0,76298.7
62,39844,16881,7968.8,7879,7257.280000000001,4781.28,72572.8,60534.240000000005
63,58960,13554,11792.0,2207,8651.300000000001,7075.2,86513.0,70786.5
64,43530,18228,8706.0,6681,7714.5,5223.599999999999,77145.0,64206.9
65,78300,12467,15660.0,6134,11256.1,9396.0,112561.0,91908.9
66,45258,7247,9051.6,3496,6505.26,5430.96,65052.6,53116.38
67,65147,10913,13029.4,5528,9461.74,7817.639999999999,94617.4,77338.01999999999
68,74122,17925,14824.4,2406,10927.74,8894.64,109277.4,89455.01999999999
69,78599,7188,15719.8,2108,10361.48,9431.88,103614.8,83821.44
70,30633,7265,6126.6,5545,4956.96,3675.96,49569.6,40936.68
71,64493,7854,12898.6,6869,9211.46,7739.16,92114.6,75163.98000000001
72,36194,5021,7238.8,3431,5188.4800000000005,4343.28,51884.8,42353.04
73,47799,16696,9559.8,5516,7957.080000000001,5735.88,79570.8,65877.84
74,55770,11998,11154.0,5138,8406.0,6692.4,84060.0,68961.6
75,47967,19128,9593.4,7337,8402.539999999999,5756.04,84025.4,69866.82
76,61749,8600,12349.8,5185,8788.380000000001,7409.88,87883.8,71685.54
77,71430,5283,14286.0,5586,9658.5,8571.6,96585.0,78354.9
78,39627,10233,7925.400000000001,7455,6524.040000000001,4755.24,65240.4,53961.12
79,79223,13707,15844.6,2004,11077.86,9506.76,110778.6,90193.98000000001
80,51060,8376,10212.0,4523,7417.1,6127.2,74171.0,60626.7
81,41217,19780,8243.4,5037,7427.74,4946.04,74277.4,61903.61999999999
82,61238,14677,12247.6,7713,9587.56,7348.559999999999,95875.6,78939.48000000001
83,62461,18598,12492.2,3304,9685.52,7495.32,96855.2,79674.35999999999
84,62296,13452,12459.2,2103,9031.02,7475.519999999999,90310.2,73803.65999999999
85,51811,15696,10362.2,4262,8213.12,6217.32,82131.2,67700.76000000001
86,40353,16383,8070.6,7269,7207.560000000001,4842.36,72075.6,60025.68000000001
87,41188,7914,8237.6,4459,6179.860000000001,4942.56,61798.6,50676.18
88,40840,17575,8168.0,7261,7384.400000000001,4900.8,73844.0,61558.8
89,72648,8559,14529.6,6415,10215.160000000002,8717.76,102151.6,83218.68000000001
90,70717,8936,14143.4,5664,9946.04,8486.039999999999,99460.4,81028.31999999999
91,66842,13118,13368.4,3195,9652.34,8021.04,96523.4,78850.02
92,48182,9566,9636.4,5717,7310.139999999999,5781.84,73101.4,60009.42
93,72113,10097,14422.6,3195,9982.760000000002,8653.56,99827.6,81191.28
94,33694,13615,6738.8,5901,5994.880000000001,4043.28,59948.8,49910.64
95,46337,11030,9267.4,7718,7435.24,5560.44,74352.4,61356.71999999999
